,id,tech_word,wcount,country,dmonth,dyear,dposition,allads
0,1,computer,89,Egypt,4,2022,Data,100
1,2,computer science,87,Egypt,4,2022,Data,100
2,3,data,87,Egypt,4,2022,Data,100
3,4,information technology ,82,Egypt,4,2022,Data,100
4,5,structured query language ,63,Egypt,4,2022,Data,100
5,6,software,51,Egypt,4,2022,Data,100
6,7,database ,50,Egypt,4,2022,Data,100
7,8,tuple ,50,Egypt,4,2022,Data,100
8,9,select ,49,Egypt,4,2022,Data,100
9,10,server,37,Egypt,4,2022,Data,100
10,11,extract transform load ,30,Egypt,4,2022,Data,100
11,12,computer engineering,28,Egypt,4,2022,Data,100
12,13,python,28,Egypt,4,2022,Data,100
13,14,field,27,Egypt,4,2022,Data,100
14,15,tuning,25,Egypt,4,2022,Data,100
15,16,analytics,25,Egypt,4,2022,Data,100
16,17,backup,24,Egypt,4,2022,Data,100
17,18,software development,24,Egypt,4,2022,Data,100
18,19,business intelligence ,23,Egypt,4,2022,Data,100
19,20,sql server,22,Egypt,4,2022,Data,100
20,21,linux,21,Egypt,4,2022,Data,100
21,23,programming,21,Egypt,4,2022,Data,100
22,24,troubleshooting,21,Egypt,4,2022,Data,100
23,25,integrity,20,Egypt,4,2022,Data,100
24,26,query,17,Egypt,4,2022,Data,100
25,27,database administrator ,17,Egypt,4,2022,Data,100
26,28,software engineering,17,Egypt,4,2022,Data,100
27,29,big data,17,Egypt,4,2022,Data,100
28,30,implementation,16,Egypt,4,2022,Data,100
29,31,federation against software theft ,16,Egypt,4,2022,Data,100
30,32,data warehouse ,16,Egypt,4,2022,Data,100
31,33,availability,16,Egypt,4,2022,Data,100
32,34,installation,15,Egypt,4,2022,Data,100
33,35,configuration,15,Egypt,4,2022,Data,100
34,36,storage,15,Egypt,4,2022,Data,100
35,37,cloud,15,Egypt,4,2022,Data,100
36,38,cluster ,14,Egypt,4,2022,Data,100
37,39,build,14,Egypt,4,2022,Data,100
38,40,data science,14,Egypt,4,2022,Data,100
39,41,oracle database ,14,Egypt,4,2022,Data,100
40,42,java,14,Egypt,4,2022,Data,100
41,43,amazon web services ,14,Egypt,4,2022,Data,100
42,44,beginner's all-purpose symbolic instruction code ,13,Egypt,4,2022,Data,100
43,45,make,13,Egypt,4,2022,Data,100
44,46,data management,13,Egypt,4,2022,Data,100
45,47,scripts,13,Egypt,4,2022,Data,100
46,48,microsoft office,13,Egypt,4,2022,Data,100
47,49,machine learning ,13,Egypt,4,2022,Data,100
48,50,code,13,Egypt,4,2022,Data,100
49,51,c programming language ,12,Egypt,4,2022,Data,100
50,52,platform,12,Egypt,4,2022,Data,100
51,53,key,12,Egypt,4,2022,Data,100
52,54,mysql,12,Egypt,4,2022,Data,100
53,55,internal,12,Egypt,4,2022,Data,100
54,56,access,12,Egypt,4,2022,Data,100
55,57,monitor,12,Egypt,4,2022,Data,100
56,58,data modeling,11,Egypt,4,2022,Data,100
57,59,scala,11,Egypt,4,2022,Data,100
58,60,data quality,11,Egypt,4,2022,Data,100
59,61,data engineer,11,Egypt,4,2022,Data,100
60,62,nosql,11,Egypt,4,2022,Data,100
61,63,disaster recovery,11,Egypt,4,2022,Data,100
62,64,developer,11,Egypt,4,2022,Data,100
63,65,capacity,11,Egypt,4,2022,Data,100
64,66,database security,11,Egypt,4,2022,Data,100
65,67,deployment,11,Egypt,4,2022,Data,100
66,68,sql server integration services ,10,Egypt,4,2022,Data,100
67,69,mongodb,10,Egypt,4,2022,Data,100
68,70,git,10,Egypt,4,2022,Data,100
69,71,database administration,10,Egypt,4,2022,Data,100
70,72,data analytics,9,Egypt,4,2022,Data,100
71,73,network,9,Egypt,4,2022,Data,100
72,74,technical support ,9,Egypt,4,2022,Data,100
73,75,pipeline,9,Egypt,4,2022,Data,100
74,76,r,9,Egypt,4,2022,Data,100
75,77,r,9,Egypt,4,2022,Data,100
76,78,data integration,9,Egypt,4,2022,Data,100
77,79,replication,9,Egypt,4,2022,Data,100
78,80,coding,9,Egypt,4,2022,Data,100
79,81,r ,9,Egypt,4,2022,Data,100
80,82,model ,9,Egypt,4,2022,Data,100
81,83,web,8,Egypt,4,2022,Data,100
82,84,collection,8,Egypt,4,2022,Data,100
83,85,kubernetes,8,Egypt,4,2022,Data,100
84,86,unix,8,Egypt,4,2022,Data,100
85,87,high availability ,8,Egypt,4,2022,Data,100
86,88,data integrity,8,Egypt,4,2022,Data,100
87,89,data visualization,8,Egypt,4,2022,Data,100
88,90,quality assurance ,8,Egypt,4,2022,Data,100
89,91,postgresql,8,Egypt,4,2022,Data,100
90,92,hardware ,8,Egypt,4,2022,Data,100
